Name,Country,Age,"Height, cm",Weight,Sex,Date of birth,Place of birth,Gold,Silver,Bronze,Total,Sport,Event
Abrar Osman Adem,Eritrea,18,168.0,58.0,M,1/1/1994,ADI SHIMAGLE (ERI),0,0,0,0,Athletics,Men's 5000m
Margaret Adeoye,Great Britain,27,162.0,65.0,F,4/22/1985,Lagos (NGR),0,0,0,0,Athletics,Women's 200m
Seun Adigun,Nigeria,25,153.0,52.0,F,1/3/1987,ILLINOIS (USA),0,0,0,0,Athletics,Women's 100m Hurdles
Rebecca Adlington,Great Britain,23,179.0,70.0,F,2/17/1989,Mansfield (GBR),0,0,1,1,Swimming,"Women's 400m Freestyle, Women's 800m Freestyle"
Nathan Adrian,United States of America,23,201.0,102.0,M,12/7/1988,Bremerton (USA),1,1,0,2,Swimming,"Men's 100m Freestyle, Men's 4x100m Freestyle Relay"
Jasper Aerents,Belgium,19,190.0,84.0,M,12/18/1992,Gent (BEL),0,0,0,0,Swimming,"Men's 50m Freestyle, Men's 4x100m Freestyle Relay"
Sara Aerts,Belgium,28,182.0,64.0,F,1/25/1984,Turnhout (BEL),0,0,0,0,Athletics,Women's Heptathlon
Christos Afroudakis,Greece,28,188.0,88.0,M,5/23/1984,Athína (GRE),0,0,0,0,Water Polo,Men's Water Polo
Georgios Afroudakis,Greece,35,194.0,103.0,M,10/17/1976,Athína (GRE),0,0,0,0,Water Polo,Men's Water Polo
Dragos Agache,Romania,28,175.0,75.0,M,3/8/1984,Braila (ROU),0,0,0,0,Swimming,Men's 100m Breaststroke
Alphonsine Agahozo,Rwanda,16,160.0,50.0,F,7/18/1996,NYARUGENGE,0,0,0,0,Swimming,Women's 50m Freestyle
Marilyn Agliotti,Netherlands,33,171.0,61.0,F,6/23/1979,BOKSBURG (RSA),0,0,0,0,Hockey,Women's Hockey
Yannick Agnel,France,20,202.0,90.0,M,6/9/1992,Nimes (FRA),2,1,0,3,Swimming,"Men's 100m Freestyle, Men's 200m Freestyle, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay, Men's 4x100m Medley Relay"
Anna Agrafioti,Greece,21,178.0,76.0,F,4/10/1991,CHOLARGOS (GRE),0,0,0,0,Sailing,Women's Laser Radial
Mayra Aguiar,Brazil,21,178.0,78.0,F,8/3/1991,Porto Alegre (BRA),0,0,1,1,Judo,Women's -78kg
Alberto Aguilar,Venezuela,27,194.0,80.0,M,3/9/1985,SAN FEERNANDO (VEN),0,0,0,0,Athletics,Men's 4 x 400m Relay
Alessandra Aguilar,Spain,34,165.0,50.0,F,7/1/1978,Lugo (ESP),0,0,0,0,Athletics,Women's Marathon
Inaki Aguilar Vicente,Spain,28,189.0,82.0,M,9/9/1983,Barcelona (ESP),0,0,0,0,Water Polo,Men's Water Polo
Marcelo Aguirre,Paraguay,19,174.0,66.0,M,1/21/1993,ASUNCION (PAR),0,0,0,0,Table Tennis,Men's Singles
Feta Ahamada,Comoros,25,160.0,50.0,F,6/24/1987,CLICHY,0,0,0,0,Athletics,Women's 100m
Christian Ahlmann,Germany,37,192.0,88.0,M,12/17/1974,MARL (GER),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, CODEX ONE"
Tontowi Ahmad,Indonesia,25,178.0,68.0,M,7/18/1987,BANYUMAS,0,0,0,0,Badminton,Mixed Doubles
Elaheh Ahmadi,Islamic Republic of Iran,30,160.0,58.0,F,5/31/1982,Tehran (IRI),0,0,0,0,Shooting,"Women's 10m Air Rifle, Women's 50m Rifle 3 Positions"
Emin Ahmadov,Azerbaijan,25,170.0,74.0,M,10/6/1986,Baku (AZE),0,0,0,0,Wrestling,Men's 74kg Greco-Roman
Abdou Omar Abdou Ahmed,Egypt,23,172.0,66.0,M,2/22/1989,SUEZ (EGY),0,0,0,0,Wrestling,Men's 66kg Freestyle
Azneem Ahmed,Maldives,23,169.0,65.0,M,1/1/1989,HDH.KULHUDHUFFUSHI (MDV),0,0,0,0,Athletics,Men's 100m
Esmat Ahmed,Egypt,25,165.0,68.0,F,11/20/1986,ALEX,0,0,0,0,Weightlifting,Women's 69kg
Mohammed Ahmed,Canada,21,190.0,60.0,M,1/5/1991,Mogadishu (SOM),0,0,0,0,Athletics,"Men's 10,000m"
Odile Ahouanwanou,Benin,21,178.0,71.0,F,1/5/1991,SAVALOU (BEN),0,0,0,0,Athletics,Women's 100m Hurdles
Murielle Ahoure,Côte d'Ivoire,24,170.0,57.0,F,8/23/1987,Abidjan (CIV),0,0,0,0,Athletics,"Women's 100m, Women's 200m"
Gaby Diana Ahrens,Namibia,31,170.0,60.0,F,3/15/1981,Windhoek (NAM),0,0,0,0,Shooting,Women's Trap
Mohammad Ahsan,Indonesia,24,174.0,66.0,M,9/7/1987,PALEMBANG,0,0,0,0,Badminton,Men's Doubles
Johannes Ahun,Estonia,24,188.0,80.0,M,12/22/1987,Tallinn (EST),0,0,0,0,Sailing,Men's RS-X
Michelle-Lee Ahye,Trinidad and Tobago,20,160.0,64.0,F,4/10/1992,Port of Spain (TRI),0,0,0,0,Athletics,"Women's 100m, Women's 4 x 100m Relay"
Matteo Aicardi,Italy,26,192.0,104.0,M,4/19/1986,FINALE LIGURE (ITA),0,0,0,0,Water Polo,Men's Water Polo
Neringa Aidietyte,Lithuania,29,177.0,61.0,F,6/5/1983,Vilnius (LTU),0,0,0,0,Athletics,Women's 20km Race Walk
Hannes Aigner,Germany,23,183.0,80.0,M,3/19/1989,Augsburg (GER),0,0,1,1,Canoe Slalom,Men's Kayak (K1)
Ben Ainslie,Great Britain,35,183.0,90.0,M,2/5/1977,Macclesfield (GBR),0,0,0,0,Sailing,Men's Finn
Souad Ait Salem,Algeria,33,167.0,50.0,F,1/6/1979,MECHERIA NAAMA (ALG),0,0,0,0,Athletics,Women's Marathon
Marina Aitova,Kazakhstan,29,178.0,59.0,F,9/13/1982,Almaty (KAZ),0,0,0,0,Athletics,Women's High Jump
Ahmet Akdilek,Turkey,24,178.0,67.0,M,3/10/1988,KARAMAN (TUR),0,0,0,0,Cycling - Road,"Men's Individual Time Trial, Men's Road Race"
Taha Akgul,Turkey,21,192.0,120.0,M,11/22/1990,Sivas (TUR),0,0,0,0,Wrestling,Men's 120kg Freestyle
Habibollah Jomeh Akhlaghi,Islamic Republic of Iran,27,179.0,84.0,M,8/3/1985,ANDIMESHK (IRI),0,0,0,0,Wrestling,Men's 84kg Greco-Roman
Esther Akihary,Netherlands,25,166.0,56.0,F,4/14/1987,VEENENDAAL (NED),0,0,0,0,Athletics,Women's 4 x 100m Relay
Foluke Akinradewo,United States of America,24,191.0,79.0,F,10/5/1987,London (CAN),0,0,0,0,Volleyball,Women's Volleyball
Jonathan Akinyemi,Nigeria,23,183.0,79.0,M,11/22/1988,WARRINGTON (GBR),0,0,0,0,Canoe Slalom,Men's Kayak (K1)
Khadzhimurat Akkaev,Russian Federation,27,178.0,105.0,M,3/27/1985,TURNAUZ (RUS),0,0,0,0,Weightlifting,Men's 105kg
Malika Akkaoui,Morocco,24,160.0,49.0,F,12/25/1987,ZAIDA (MAR),0,0,0,0,Athletics,Women's 800m
Adnan Taess Akkar,Iraq,32,165.0,78.0,M,3/24/1980,WASSIT (IRQ),0,0,0,0,Athletics,Men's 800m
Youssef Akrout,Tunisia,21,180.0,78.0,M,11/15/1990,Tunis (TUN),0,0,0,0,Sailing,Men's Laser
Chie Akutsu,Japan,27,155.0,51.0,F,9/15/1984,IMAICHI (JPN),0,0,0,0,Hockey,Women's Hockey
Noah Akwu,Nigeria,21,160.0,74.0,M,9/23/1990,Enugu (NGR),0,0,0,0,Athletics,Men's 200m
Bahaa Al Farra,Palestine,21,175.0,65.0,M,3/10/1991,KHAN YOUNIS (PLE),0,0,0,0,Athletics,Men's 400m
Bahya Mansour Al Hamad,Qatar,20,166.0,69.0,F,6/21/1992,Qatar (QAT),0,0,0,0,Shooting,"Women's 10m Air Rifle, Women's 50m Rifle 3 Positions"
Ahmed Al Hatmi,Oman,27,170.0,70.0,M,11/27/1984,AL RUSTAQ (OMA),0,0,0,0,Shooting,Men's Double Trap
Rashid Al-Athba,Qatar,31,180.0,104.0,M,8/18/1980,Qatar (QAT),0,0,0,0,Shooting,"Men's Trap, Men's Double Trap"
Nasser Al-Attiya,Qatar,41,178.0,70.0,M,12/21/1970,Qatar (QAT),0,0,1,1,Shooting,Men's Skeet
Mohammad Al-Azemi,Kuwait,30,187.0,65.0,M,6/16/1982,KUWAIT (KUW),0,0,0,0,Athletics,Men's 800m
Mohanad Ahmed Dheyaa Al-Azzawi,Iraq,15,173.0,65.0,M,9/21/1996,BAGHDAD (IRQ),0,0,0,0,Swimming,Men's 100m Butterfly
Mostafa Al-Gamel,Egypt,23,191.0,96.0,M,10/1/1988,GEIZA (EGY),0,0,0,0,Athletics,Men's Hammer Throw
Nabil Mohammed Al-Garbi,Yemen,18,175.0,65.0,M,11/3/1993,DHAMAR (YEM),0,0,0,0,Athletics,Men's 1500m
Mohamad Al-Garni,Qatar,20,170.0,55.0,M,7/2/1992,MOROCCO (MAR),0,0,0,0,Athletics,Men's 1500m
Shinoona Salah Al-Habsi,Oman,19,162.0,60.0,F,7/3/1993,AL KHOUDH (OMA),0,0,0,0,Athletics,Women's 100m
Barakat Mubarak Al-Harthi,Oman,24,171.0,67.0,M,6/15/1988,Ibra (OMA),0,0,0,0,Athletics,Men's 100m
Safaa Al-Jumaili,Iraq,22,175.0,83.0,M,1/1/1990,DIYALA,0,0,0,0,Weightlifting,Men's 85kg
Noor Hussain Al-Malki,Qatar,17,155.0,43.0,F,10/21/1994,Doha (QAT),0,0,0,0,Athletics,Women's 100m
Rand Al-Mashhadani,Iraq,17,160.0,50.0,F,8/11/1994,BAGHDAD,0,0,0,0,Archery,Women's Individual
Ahmed Mohamed Al-Merjabi,Oman,21,170.0,65.0,M,9/9/1990,Ibra (OMA),0,0,0,0,Athletics,Men's 400m
Ali Mohamed Al-Zinkawi,Kuwait,28,195.0,110.0,M,2/27/1984,KUWAIT (HUN),0,0,0,0,Athletics,Men's Hammer Throw
Marina Alabau Neira,Spain,26,164.0,55.0,F,8/31/1985,Sevilla (ESP),0,0,0,0,Sailing,Women's RS-X
Danielle Alakija,Fiji,16,182.0,71.0,F,5/3/1996,Hillingdon (GBR),0,0,0,0,Athletics,Women's 400m
Yenew Alamirew,Ethiopia,22,178.0,57.0,M,5/27/1990,TILILI (ETH),0,0,0,0,Athletics,Men's 5000m
Noshad Alamiyan,Islamic Republic of Iran,20,170.0,65.0,M,11/21/1991,BABOL,0,0,0,0,Table Tennis,Men's Singles
Mariem Alaoui Selsouli,Morocco,28,158.0,42.0,F,7/8/1984,MARRAKECH MEDINA (MAR),0,0,0,0,Athletics,"Women's 1500m, Women's 5000m"
Yousef Alaskari,Kuwait,18,175.0,65.0,M,3/25/1994,KUWAIT (KUW),0,0,0,0,Swimming,Men's 200m Butterfly
Janice Alatoa,Vanuatu,23,166.0,55.0,F,10/30/1988,PORT VILA (VAN),0,0,0,0,Athletics,Women's 100m
Azad Albarazi,Syrian Arab Republic,24,205.0,110.0,M,1/4/1988,SAUDI ARABIA (KSA),0,0,0,0,Swimming,Men's 100m Breaststroke
Michael Albasini,Switzerland,31,172.0,67.0,M,12/20/1980,Wil (SUI),0,0,0,0,Cycling - Road,"Men's Individual Time Trial, Men's Road Race"
Ruslan Albegov,Russian Federation,24,192.0,156.0,M,1/26/1988,VLADIKAVKAZ,0,0,0,0,Weightlifting,Men's +105kg
Samantha Albert,Jamaica,41,165.0,64.0,F,5/31/1971,Montreal (CAN),0,0,0,0,Equestrian,"Individual Eventing, CARRAIG DUBH"
Kyle Alcorn,United States of America,27,185.0,74.0,M,3/18/1985,Fresno (USA),0,0,0,0,Athletics,Men's 3000m Steeplechase
Yamile Aldama,Great Britain,39,172.0,62.0,F,8/14/1972,Havana (CUB),0,0,0,0,Athletics,Women's Triple Jump
Andrea Aldana Bennett,Guatemala,23,172.0,68.0,F,4/29/1989,GUATEMALA CITY (GUA),0,0,0,0,Sailing,Women's Laser Radial
Ibragim Aldatov,Ukraine,28,178.0,87.0,M,11/4/1983,BESLAN (RUS),0,0,0,0,Wrestling,Men's 84kg Freestyle
Fehaid Aldeehani,Kuwait,45,180.0,100.0,M,10/11/1966,KUWAIT (KUW),0,0,0,0,Shooting,"Men's Trap, Men's Double Trap"
Jo Aleh,New Zealand,26,171.0,60.0,F,5/15/1986,Auckland (NZL),0,0,0,0,Sailing,Women's 470
Virgilijus Alekna,Lithuania,40,199.0,135.0,M,2/13/1972,KUPISKIS (LTU),0,0,0,0,Athletics,Men's Discus Throw
Dmitrii Aleksandrov,Kyrgyzstan,19,185.0,75.0,M,9/12/1992,Bishkek (KGZ),0,0,0,0,Swimming,Men's 200m Breaststroke
Artur Aleksanyan,Armenia,20,185.0,96.0,M,10/21/1991,Gyumri (ARM),0,0,0,0,Wrestling,Men's 96kg Greco-Roman
Sandra Aleksejeva,Latvia,21,164.0,62.0,F,5/3/1991,Kraslava (LAT),0,0,0,0,Cycling - BMX,Women's BMX
Denis Alekseyev,Russian Federation,24,186.0,75.0,M,12/21/1987,Leningrad (RUS),0,0,0,0,Athletics,Men's 4 x 400m Relay
Milan Aleksic,Serbia,26,197.0,100.0,M,5/13/1986,Beograd (SRB),0,0,0,0,Water Polo,Men's Water Polo
Todor Aleksiev,Bulgaria,29,200.0,96.0,M,4/21/1983,Plovdiv (BUL),0,0,0,0,Volleyball,Men's Volleyball
Octavio Alesi Gonzalez,Venezuela,25,175.0,75.0,M,11/10/1986,Barinas (VEN),0,0,0,0,Swimming,Men's 4x100m Freestyle Relay
Ayanna Alexander,Trinidad and Tobago,30,171.0,60.0,F,7/20/1982,Port of Spain (TRI),0,0,0,0,Athletics,Women's Triple Jump
Kineke Alexander,St Vincent and the Grenadines,26,178.0,65.0,F,2/21/1986,KIngstown (VIN),0,0,0,0,Athletics,Women's 400m
Yevgeniy Alexeyev,Kazakhstan,34,185.0,85.0,M,12/11/1977,Shymkent (KAZ),0,0,0,0,Canoe Sprint,"Men's Kayak Double (K2) 1000m, Men's Kayak Double (K2) 200m"
Alin Alexuc-Ciurariu,Romania,22,191.0,96.0,M,2/3/1990,Botosani (ROU),0,0,0,0,Wrestling,Men's 96kg Greco-Roman
Rafael Alfaro,El Salvador,20,185.0,80.0,M,2/4/1992,San Salvador (ESA),0,0,0,0,Swimming,Men's 400m Individual Medley
Sara Alflaij,Bahrain,17,170.0,72.0,F,8/3/1995,USA (USA),0,0,0,0,Swimming,Women's 50m Freestyle
Linda Algotsson,Sweden,40,158.0,53.0,F,3/22/1972,KRISTVALLA (SWE),0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, LA FAIR"
Sara Algotsson Ostholt,Sweden,37,162.0,55.0,F,12/8/1974,KRISTVALLA (SWE),0,1,0,1,Equestrian,"Individual Eventing, Team Eventing, WEGA"
Ibrahem Alhasan,Kuwait,25,174.0,85.0,M,8/22/1986,KUWAIT (KUW),0,0,0,0,Table Tennis,Men's Singles
Annabel Laure Ali,Cameroon,27,176.0,72.0,F,3/4/1985,GAROUA (CMR),0,0,0,0,Wrestling,Women's 72kg Freestyle
Belal Mansoor Ali,Bahrain,23,167.0,61.0,M,10/17/1988,KENYA (KEN),0,0,0,0,Athletics,"Men's 800m, Men's 1500m"
Kame Ali,Madagascar,27,190.0,83.0,M,5/21/1985,Namakia (MAD),0,0,0,0,Athletics,Men's 110m Hurdles
Khalid Alibaba,Bahrain,15,165.0,60.0,M,9/6/1996,Manama (BRN),0,0,0,0,Swimming,Men's 100m Butterfly
Alexey Alipov,Russian Federation,36,175.0,85.0,M,8/7/1975,Moscow (RUS),0,0,0,0,Shooting,Men's Trap
Ashraf Aliyev,Azerbaijan,26,175.0,74.0,M,7/29/1986,ABSHERON (AZE),0,0,0,0,Wrestling,Men's 74kg Freestyle
Hasan Aliyev,Azerbaijan,22,170.0,60.0,M,11/14/1989,GAZAKH (AZE),0,0,0,0,Wrestling,Men's 60kg Greco-Roman
Triin Aljand,Estonia,27,179.0,68.0,F,7/8/1985,Tallinn (EST),0,0,0,0,Swimming,"Women's 50m Freestyle, Women's 100m Butterfly"
Jasmine Alkhaldi,Philippines,29,165.0,55.0,F,6/20/1983,PARANAQUE  MM (PHI),0,0,0,0,Swimming,Women's 100m Freestyle
Agnese Allegrini,Italy,30,162.0,57.0,F,7/3/1982,Roma,0,0,0,0,Badminton,Women's Singles
Elena Allen,Great Britain,40,169.0,67.0,F,7/12/1972,Moscow (RUS),0,0,0,0,Shooting,Women's Skeet
Sophie Allen,Great Britain,20,170.0,65.0,F,3/21/1992,Lincoln (GBR),0,0,0,0,Swimming,Women's 200m Individual Medley
Ade Alleyne-Forte,Trinidad and Tobago,23,180.0,73.0,M,10/11/1988,San Fernando (TRI),0,0,0,0,Athletics,Men's 4 x 400m Relay
Bradley Ally,Barbados,25,183.0,73.0,M,11/12/1986,Bridgetown (BAR),0,0,0,0,Swimming,"Men's 100m Backstroke, Men's 200m Individual Medley, Men's 400m Individual Medley"
Miguel Angel Almachi,Ecuador,27,169.0,55.0,M,5/2/1985,QUITO (ECU),0,0,0,0,Athletics,Men's Marathon
Carlos Almeida,Portugal,23,182.0,87.0,M,8/4/1988,Lisboa (POR),0,0,0,0,Swimming,Men's 100m Breaststroke
Joao Carlos Almeida,Portugal,24,185.0,88.0,M,4/5/1988,Lisboa (POR),0,0,0,0,Athletics,Men's 110m Hurdles
Kaio Almeida,Brazil,27,174.0,74.0,M,10/19/1984,Joao Pessoa (BRA),0,0,0,0,Swimming,"Men's 100m Butterfly, Men's 200m Butterfly, Men's 4x100m Medley Relay"
Ghfran Almouhamad,Syrian Arab Republic,23,176.0,72.0,F,6/6/1989,Aleppo (SYR),0,0,0,0,Athletics,Women's 400m Hurdles
Anthony Alozie,Australia,25,171.0,79.0,M,8/18/1986,Aba (NGR),0,0,0,0,Athletics,Men's 4 x 100m Relay
Abdullah Alrashidi,Kuwait,48,180.0,95.0,M,8/21/1963,KUWAIT (KUW),0,0,0,0,Shooting,Men's Skeet
Talal Alrashidi,Kuwait,19,176.0,70.0,M,7/24/1993,KUWAIT (KUW),0,0,0,0,Shooting,Men's Trap
Therese Alshammar,Sweden,34,180.0,65.0,F,8/26/1977,RASUNDA (SWE),0,0,0,0,Swimming,"Women's 50m Freestyle, Women's 100m Freestyle"
Julio Alsogaray,Argentina,32,181.0,84.0,M,4/11/1980,SAN PEDRO,0,0,0,0,Sailing,Men's Laser
Maria Suelen Altheman,Brazil,23,175.0,78.0,F,8/12/1988,Sao Paulo,0,0,0,0,Judo,Women's +78kg
Luis Alvarez,Mexico,21,174.0,90.0,M,4/13/1991,MEXICALI,0,0,0,0,Archery,"Men's Individual, Men's Team"
Yuri Alvear,Colombia,26,174.0,70.0,F,3/29/1986,JAMUNDI VALLE (COL),0,0,1,1,Judo,Women's -70kg
Francisco Javier Alves,Spain,31,182.0,66.0,M,9/2/1980,CACERES (ESP),0,0,0,0,Athletics,Men's 5000m
Andrey Amador Bakkazakova,Costa Rica,25,181.0,72.0,M,8/29/1986,SAN RAMON (CRC),0,0,0,0,Cycling - Road,Men's Road Race
Mohammed Aman,Ethiopia,18,175.0,58.0,M,1/10/1994,Assela (ETH),0,0,0,0,Athletics,Men's 800m
Ranohon Amanova,Uzbekistan,18,174.0,61.0,F,3/8/1994,ANDIJAN (UZB),0,0,0,0,Swimming,Women's 200m Individual Medley
Yadinys Amaris,Colombia,28,162.0,57.0,F,4/1/1984,AGUACHICA CESAR (COL),0,0,0,0,Judo,Women's -57kg
Doreen Amata,Nigeria,24,198.0,54.0,F,5/6/1988,Lagos (NGR),0,0,0,0,Athletics,Women's High Jump
Kim Amb,Sweden,22,177.0,86.0,M,7/31/1990,Solna (SWE),0,0,0,0,Athletics,Men's Javelin Throw
Harald Ambros,Austria,32,177.0,75.0,M,3/19/1980,Linz (AUT),0,0,0,0,Equestrian,"Individual Eventing, O-FELTIZ"
Nourhan Amer,Egypt,19,160.0,55.0,F,5/10/1993,MONOFIYA (EGY),0,0,0,0,Shooting,Women's 10m Air Rifle
Christine Amertil,Bahamas,32,168.0,54.0,F,8/18/1979,Nassau (BAH),0,0,0,0,Athletics,Women's 4 x 100m Relay
Alena Amialiusik,Belarus,23,169.0,53.0,F,2/6/1989,BOBRUISK (BLR),0,0,0,0,Cycling - Road,Women's Road Race
Nijel Amos,Botswana,18,179.0,60.0,M,3/15/1994,MAROBELA (BOT),0,0,0,0,Athletics,Men's 800m
Marwa Amri,Tunisia,23,161.0,55.0,F,1/8/1989,Tunis (TUN),0,0,0,0,Wrestling,Women's 55kg Freestyle
Kum Ae An,Democratic People's Republic  of Korea,32,160.0,52.0,F,6/3/1980,Pyongyang (PRK),1,0,0,1,Judo,Women's -52kg
Phara Anacharsis,France,28,177.0,66.0,F,12/17/1983,FORT DE FRANCE (FRA),0,0,0,0,Athletics,Women's 4 x 400m Relay
Takamasa Anai,Japan,27,187.0,100.0,M,8/5/1984,OITA (JPN),0,0,0,0,Judo,Men's -100kg
